text,urgency_prediction,urgency_confidence,hazard_prediction,hazard_confidence,extracted_entities,reason_flagged,resolution
water has entered houses around raipur please send a rescue team for 0 people,MEDIUM,0.3662,Flood,0.7005,"{""location"": [""raipur""], ""resource_needed"": [""rescue team""], ""headcount"": 0}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around nalgonda emergency rescue support is required,HIGH,0.2834,Heavy Rainfall,0.9935,"{""location"": [""nalgonda""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near lucknow need rescue assistance due to severe weather,CRITICAL,0.3485,Cyclone,0.9958,"{""location"": [""lucknow""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around agra rescue teams are needed immediately,LOW,0.3676,Earthquake,0.9952,"{""location"": [""agra""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near kolkata 12 people may be trapped,HIGH,0.4349,Landslide,0.9962,"{""location"": [""kolkata""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around tiruppur please send water tankers,CRITICAL,0.3354,Drought,0.9973,"{""location"": [""tiruppur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families near tiruchirappalli are requesting emergency water support,CRITICAL,0.408,Drought,0.9871,"{""location"": [""tiruchirappalli""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near patna need rescue assistance due to severe weather,CRITICAL,0.3297,Cyclone,0.9932,"{""location"": [""patna""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near rishikesh 10 people need assistance,CRITICAL,0.4755,Heavy Rainfall,0.9961,"{""location"": [""rishikesh""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near nalgonda need emergency assistance,CRITICAL,0.3049,Landslide,0.986,"{""location"": [""nalgonda""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near idukki 5 people need immediate rescue,CRITICAL,0.3478,Flood,0.6768,"{""location"": [""idukki""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around chennai residents need drinking water,HIGH,0.2887,Drought,0.9977,"{""location"": [""chennai""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around ayodhya please send a rescue team for 12 people,HIGH,0.2958,Flood,0.657,"{""location"": [""ayodhya""], ""resource_needed"": [""rescue team""], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe flooding reported near ludhiana families are requesting evacuation support,CRITICAL,0.4648,Flood,0.5074,"{""location"": [""ludhiana""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near shimla rescue teams are urgently needed,LOW,0.3116,Landslide,0.9974,"{""location"": [""shimla""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around kakinada emergency rescue support is required,HIGH,0.297,Heavy Rainfall,0.9935,"{""location"": [""kakinada""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around purnia please send a rescue team for 5 people,MEDIUM,0.356,Flood,0.6979,"{""location"": [""purnia""], ""resource_needed"": [""rescue team""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
cyclone conditions are worsening near rewa please arrange evacuation immediately,LOW,0.3709,Cyclone,0.9939,"{""location"": [""rewa""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around kozhikode residents need immediate evacuation,CRITICAL,0.3732,Tsunami,0.993,"{""location"": [""kozhikode""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
emergency situation reported around durg please send an ambulance,CRITICAL,0.5056,Lightning,0.9889,"{""location"": [""durg""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
cyclone conditions are worsening near jaipur please arrange evacuation immediately,CRITICAL,0.4163,Cyclone,0.9916,"{""location"": [""jaipur""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near jaipur 2 people need emergency assistance,CRITICAL,0.4059,Earthquake,0.991,"{""location"": [""jaipur""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near kanpur 10 people need immediate rescue,HIGH,0.3911,Flood,0.7348,"{""location"": [""kanpur""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around nizamabad rescue teams are needed immediately,CRITICAL,0.2697,Earthquake,0.9899,"{""location"": [""nizamabad""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around ayodhya rescue teams are needed immediately,LOW,0.4529,Earthquake,0.9952,"{""location"": [""ayodhya""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near faridabad 1 people may be trapped,MEDIUM,0.3198,Landslide,0.9917,"{""location"": [""faridabad""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near kolhapur please send rescue teams,CRITICAL,0.387,Earthquake,0.9869,"{""location"": [""kolhapur""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people near ranchi are requesting emergency shelter,CRITICAL,0.3071,Tsunami,0.9815,"{""location"": [""ranchi""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
fire is spreading around nalgonda please send fire rescue teams,CRITICAL,0.3466,Wildfire,0.9889,"{""location"": [""nalgonda""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads are completely flooded around muzaffarpur emergency assistance is needed,CRITICAL,0.3058,Flood,0.5909,"{""location"": [""muzaffarpur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
emergency situation reported around ahmedabad please send an ambulance,CRITICAL,0.4405,Lightning,0.9959,"{""location"": [""ahmedabad""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
fire is spreading around ludhiana please send fire rescue teams,CRITICAL,0.3014,Wildfire,0.9889,"{""location"": [""ludhiana""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near rishikesh are blocked because of heavy rain,CRITICAL,0.3996,Heavy Rainfall,0.9922,"{""location"": [""rishikesh""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around patiala residents need immediate evacuation,LOW,0.3442,Tsunami,0.9922,"{""location"": [""patiala""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near raipur 1 people need medical assistance,MEDIUM,0.3884,Lightning,0.9933,"{""location"": [""raipur""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near jagdalpur 10 people need medical assistance,HIGH,0.4053,Lightning,0.9976,"{""location"": [""jagdalpur""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near visakhapatnam please send rescue teams,CRITICAL,0.4621,Earthquake,0.9881,"{""location"": [""visakhapatnam""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around khammam residents need immediate evacuation,CRITICAL,0.3287,Tsunami,0.9918,"{""location"": [""khammam""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near jodhpur residents need immediate evacuation,CRITICAL,0.3944,Wildfire,0.9895,"{""location"": [""jodhpur""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
fire is spreading around faridabad please send fire rescue teams,MEDIUM,0.3116,Wildfire,0.9913,"{""location"": [""faridabad""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near durg 5 people need emergency assistance,CRITICAL,0.3393,Earthquake,0.9976,"{""location"": [""durg""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near guntur residents need immediate evacuation,CRITICAL,0.329,Wildfire,0.9888,"{""location"": [""guntur""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near kanpur 3 people need immediate rescue,HIGH,0.2884,Flood,0.7039,"{""location"": [""kanpur""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around alappuzha residents need drinking water,HIGH,0.3091,Drought,0.9966,"{""location"": [""alappuzha""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near gurugram 1 people need immediate rescue,MEDIUM,0.3829,Flood,0.6912,"{""location"": [""gurugram""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near dhanbad need emergency assistance,LOW,0.261,Landslide,0.9931,"{""location"": [""dhanbad""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near mysuru residents need immediate evacuation,CRITICAL,0.2752,Wildfire,0.9909,"{""location"": [""mysuru""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
emergency situation reported around barpeta please send an ambulance,CRITICAL,0.347,Lightning,0.9934,"{""location"": [""barpeta""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near bokaro 0 people need emergency assistance,MEDIUM,0.2896,Earthquake,0.9914,"{""location"": [""bokaro""], ""resource_needed"": [], ""headcount"": 0}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near warangal 4 people need emergency assistance,MEDIUM,0.4157,Earthquake,0.9918,"{""location"": [""warangal""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near tiruppur 10 people need assistance,CRITICAL,0.5138,Heavy Rainfall,0.9978,"{""location"": [""tiruppur""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe flooding reported near vadodara families are requesting evacuation support,CRITICAL,0.4277,Flood,0.52,"{""location"": [""vadodara""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around bhopal residents need drinking water,HIGH,0.3319,Drought,0.9974,"{""location"": [""bhopal""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near surat 5 people need assistance,MEDIUM,0.3235,Heavy Rainfall,0.9932,"{""location"": [""surat""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads are completely flooded around kendrapara emergency assistance is needed,CRITICAL,0.3543,Flood,0.5783,"{""location"": [""kendrapara""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around dindigul residents need drinking water,HIGH,0.3062,Drought,0.9982,"{""location"": [""dindigul""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
cyclone conditions are worsening near faridabad please arrange evacuation immediately,CRITICAL,0.3048,Cyclone,0.9909,"{""location"": [""faridabad""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families near kota are requesting emergency water support,HIGH,0.3366,Drought,0.9817,"{""location"": [""kota""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near bhavnagar need emergency assistance,CRITICAL,0.3119,Landslide,0.9922,"{""location"": [""bhavnagar""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around thane are requesting emergency shelter,CRITICAL,0.3336,Cyclone,0.9663,"{""location"": [""thane""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near ambala 10 people need evacuation support,CRITICAL,0.4986,Cyclone,0.9944,"{""location"": [""ambala""], ""resource_needed"": [""evacuation""], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near udaipur need rescue assistance due to severe weather,MEDIUM,0.3484,Cyclone,0.9927,"{""location"": [""udaipur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near jamshedpur 1 people need evacuation support,LOW,0.3224,Cyclone,0.9928,"{""location"": [""jamshedpur""], ""resource_needed"": [""evacuation""], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around mumbai are requesting emergency shelter,CRITICAL,0.3108,Cyclone,0.9711,"{""location"": [""mumbai""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near malappuram please send rescue teams,CRITICAL,0.3212,Earthquake,0.9879,"{""location"": [""malappuram""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near salem 10 people need evacuation support,CRITICAL,0.4737,Cyclone,0.9968,"{""location"": [""salem""], ""resource_needed"": [""evacuation""], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near cuddalore rescue teams are urgently needed,LOW,0.3589,Landslide,0.9972,"{""location"": [""cuddalore""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near jagdalpur 5 people need emergency assistance,LOW,0.3373,Earthquake,0.9922,"{""location"": [""jagdalpur""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near nashik please send rescue teams,CRITICAL,0.4192,Earthquake,0.9859,"{""location"": [""nashik""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near salem 12 people need evacuation support,CRITICAL,0.5134,Cyclone,0.9907,"{""location"": [""salem""], ""resource_needed"": [""evacuation""], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near nagapattinam need emergency assistance,CRITICAL,0.2816,Landslide,0.9901,"{""location"": [""nagapattinam""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads are completely flooded around dhanbad emergency assistance is needed,LOW,0.311,Flood,0.5794,"{""location"": [""dhanbad""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
families around dibrugarh are requesting emergency shelter,CRITICAL,0.4583,Cyclone,0.9721,"{""location"": [""dibrugarh""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near khammam need emergency assistance,MEDIUM,0.3759,Landslide,0.9787,"{""location"": [""khammam""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near rishikesh need rescue assistance due to severe weather,CRITICAL,0.2969,Cyclone,0.9951,"{""location"": [""rishikesh""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near balasore 3 people need immediate rescue,LOW,0.3711,Flood,0.7006,"{""location"": [""balasore""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
emergency situation reported around hisar please send an ambulance,CRITICAL,0.3651,Lightning,0.9916,"{""location"": [""hisar""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near chamba need emergency assistance,CRITICAL,0.2657,Landslide,0.9872,"{""location"": [""chamba""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near bhopal 2 people need immediate rescue,MEDIUM,0.3483,Flood,0.6797,"{""location"": [""bhopal""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near dehradun 2 people need medical assistance,LOW,0.3336,Lightning,0.9933,"{""location"": [""dehradun""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near vijayawada,CRITICAL,0.3444,Wildfire,0.9901,"{""location"": [""vijayawada""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near thrissur 4 people need assistance,MEDIUM,0.3485,Heavy Rainfall,0.9947,"{""location"": [""thrissur""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near bikaner 3 people need emergency assistance,MEDIUM,0.3465,Earthquake,0.9958,"{""location"": [""bikaner""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around mangaluru rescue teams are needed immediately,LOW,0.3602,Earthquake,0.996,"{""location"": [""mangaluru""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near cuttack residents need immediate evacuation,CRITICAL,0.279,Wildfire,0.9902,"{""location"": [""cuttack""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
fire is spreading around jalandhar please send fire rescue teams,MEDIUM,0.3035,Wildfire,0.9917,"{""location"": [""jalandhar""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near dharmapuri are blocked because of heavy rain,CRITICAL,0.3566,Heavy Rainfall,0.9942,"{""location"": [""dharmapuri""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near kottayam need emergency assistance,CRITICAL,0.3267,Landslide,0.9938,"{""location"": [""kottayam""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
cyclone conditions are worsening near khammam please arrange evacuation immediately,MEDIUM,0.3348,Cyclone,0.9912,"{""location"": [""khammam""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near ludhiana 10 people need medical assistance,HIGH,0.5036,Lightning,0.9975,"{""location"": [""ludhiana""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near gaya 12 people need assistance,HIGH,0.366,Heavy Rainfall,0.9934,"{""location"": [""gaya""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads are completely flooded around malappuram emergency assistance is needed,CRITICAL,0.3118,Flood,0.5804,"{""location"": [""malappuram""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
urgent people near erode are requesting emergency shelter,CRITICAL,0.3475,Tsunami,0.9948,"{""location"": [""erode""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around alappuzha please send a rescue team for 30 people,CRITICAL,0.5682,Flood,0.6495,"{""location"": [""alappuzha""], ""resource_needed"": [""rescue team""], ""headcount"": 30}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near jagdalpur 10 people need immediate rescue,CRITICAL,0.4255,Flood,0.7186,"{""location"": [""jagdalpur""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe flooding reported near warangal families are requesting evacuation support,CRITICAL,0.3778,Flood,0.5077,"{""location"": [""warangal""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
people are stranded near kolkata we need a rescue boat immediately,LOW,0.2938,Flood,0.6641,"{""location"": [""kolkata""], ""resource_needed"": [""rescue boat""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around dhanbad please send water tankers,MEDIUM,0.2727,Drought,0.9956,"{""location"": [""dhanbad""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
fire is spreading around lucknow please send fire rescue teams,CRITICAL,0.3886,Wildfire,0.9929,"{""location"": [""lucknow""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around kolhapur rescue teams are needed immediately,LOW,0.3406,Earthquake,0.9911,"{""location"": [""kolhapur""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around surat residents need immediate evacuation,CRITICAL,0.3279,Tsunami,0.9933,"{""location"": [""surat""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near thanjavur,LOW,0.3998,Wildfire,0.991,"{""location"": [""thanjavur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
cyclone conditions are worsening near puri please arrange evacuation immediately,CRITICAL,0.381,Cyclone,0.9923,"{""location"": [""puri""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near kullu 3 people need evacuation support,LOW,0.3149,Cyclone,0.9927,"{""location"": [""kullu""], ""resource_needed"": [""evacuation""], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near ambala,CRITICAL,0.3296,Wildfire,0.9908,"{""location"": [""ambala""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around ludhiana rescue teams are needed immediately,LOW,0.2841,Earthquake,0.9899,"{""location"": [""ludhiana""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
emergency situation reported around bokaro please send an ambulance,CRITICAL,0.3136,Lightning,0.9887,"{""location"": [""bokaro""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near bhagalpur 1 people may be trapped,LOW,0.4215,Landslide,0.9937,"{""location"": [""bhagalpur""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around mangaluru residents need immediate evacuation,LOW,0.3562,Tsunami,0.9925,"{""location"": [""mangaluru""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near uttarkashi rescue teams are urgently needed,MEDIUM,0.2678,Landslide,0.9975,"{""location"": [""uttarkashi""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near vellore need rescue assistance due to severe weather,LOW,0.294,Cyclone,0.9922,"{""location"": [""vellore""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near kolhapur 2 people need emergency assistance,MEDIUM,0.4177,Earthquake,0.9934,"{""location"": [""kolhapur""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near bathinda 4 people need medical assistance,HIGH,0.2721,Lightning,0.9943,"{""location"": [""bathinda""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near vadodara 4 people need emergency assistance,MEDIUM,0.3352,Earthquake,0.9933,"{""location"": [""vadodara""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
emergency situation reported around mumbai please send an ambulance,CRITICAL,0.3282,Lightning,0.9931,"{""location"": [""mumbai""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families near kochi are requesting emergency water support,HIGH,0.3103,Drought,0.9926,"{""location"": [""kochi""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near uttarkashi 12 people need emergency assistance,HIGH,0.3874,Earthquake,0.9966,"{""location"": [""uttarkashi""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near kutch 5 people need medical assistance,LOW,0.4062,Lightning,0.9913,"{""location"": [""kutch""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near ambala 5 people need immediate rescue,LOW,0.3436,Flood,0.6827,"{""location"": [""ambala""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near jagatsinghpur rescue teams are urgently needed,LOW,0.3916,Landslide,0.9974,"{""location"": [""jagatsinghpur""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near kolhapur 1 people need assistance,MEDIUM,0.3883,Heavy Rainfall,0.9942,"{""location"": [""kolhapur""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
